mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.636,0.046666667,1,0,0,-0.308,-0.148,1,0,0,calibration_square,0,0,0,5,1,-0.15,-0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.306666667,-0.446666667,1,0,0,calibration_square,0,1,1,1,1,-0.15,-0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.308,-0.452,1,0,0,calibration_square,0,2,2,2,1,0.15,-0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.921333333,-0.148,1,0,0,calibration_square,0,3,3,4,1,-0.45,-0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.925333333,-0.448,1,0,0,calibration_square,0,4,4,3,1,0.45,-0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.918666667,0.149333333,1,0,0,calibration_square,0,5,5,8,1,-0.45,0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.308,-0.153333333,1,0,0,calibration_square,0,6,6,6,1,0.15,-0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.925333333,0.145333333,1,0,0,calibration_square,0,7,7,11,1,0.45,0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.921333333,0.446666667,1,0,0,calibration_square,0,8,8,19,1,-0.45,0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.92,-0.454666667,1,0,0,calibration_square,0,9,9,16,1,-0.45,-0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.302666667,0.146666667,1,0,0,calibration_square,0,10,10,10,1,0.15,0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.917333333,-0.452,1,0,0,calibration_square,0,11,11,17,1,0.45,-0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.309333333,0.448,1,0,0,calibration_square,0,12,12,13,1,-0.15,0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.304,0.156,1,0,0,calibration_square,0,13,13,9,1,-0.15,0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.924,-0.145333333,1,0,0,calibration_square,0,14,14,7,1,0.45,-0.15,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.922666667,0.450666667,1,0,0,calibration_square,0,15,15,12,1,-0.45,0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.92,0.449333333,1,0,0,calibration_square,0,16,16,18,1,0.45,0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.310666667,0.445333333,1,0,0,calibration_square,0,17,17,14,1,0.15,0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.922666667,0.445333333,1,0,0,calibration_square,0,18,18,15,1,0.45,0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.918666667,-0.449333333,1,0,0,calibration_square,0,19,19,0,1,-0.45,-0.45,Brad2,001,2020-11-05_12h05.51.185,demo_eye_tracking2,2020.2.5,Win32,60
